food_code,food_name,region,energy_kj,protein_g,fat_g,carbohydrates_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,zinc_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,folate_mcg
A001,"Amaranth seed, black",1,1490,14.59,5.74,59.98,7.02,181.0,9.33,325.0,2.66,374.0,433.0,2.7,0.0,27.44
A002,"Amaranth seed, pale brown",6,1489,13.27,5.56,61.46,7.47,162.0,8.02,270.0,2.52,412.0,413.0,2.81,0.0,24.65
A003,Bajra,6,1456,10.96,5.43,61.78,11.49,27.35,6.42,124.0,2.76,289.0,365.0,4.11,0.0,36.11
A004,Barley,6,1321,10.94,1.3,61.29,15.64,28.64,1.56,48.97,1.5,178.0,268.0,7.56,0.0,31.58
A005,Jowar,6,1398,9.97,1.73,67.68,10.22,27.6,3.95,133.0,1.96,274.0,328.0,5.42,0.0,39.42
A006,"Maize, dry",6,1398,8.8,3.77,64.77,12.24,8.91,2.49,145.0,2.27,279.0,291.0,4.44,0.0,25.81
A007,"Maize, tender, local",6,502,3.57,1.4,22.69,3.67,6.35,0.71,47.62,0.97,163.0,167.0,2.24,4.26,62.96
A008,"Maize, tender, sweet",4,405,4.16,1.35,16.42,3.3,6.37,0.54,36.51,0.77,121.0,297.0,2.23,5.72,59.71
A009,Quinoa,1,1374,13.11,5.5,53.65,14.66,198.0,7.51,119.0,3.31,212.0,474.0,4.5,0.0,173.0
A010,Ragi,5,1342,7.16,1.92,66.82,11.18,364.0,4.62,146.0,2.53,210.0,443.0,4.75,0.0,34.66
A011,Rice flakes,6,1480,7.44,1.14,76.75,3.46,9.19,4.46,77.92,1.49,195.0,148.0,2.58,0.0,8.46
A012,Rice puffed,6,1514,7.47,1.62,77.68,2.56,15.09,4.55,64.59,1.45,152.0,140.0,3.69,0.0,0.0
A013,"Rice, raw, brown",6,1480,9.16,1.24,74.8,4.43,10.93,1.02,93.91,1.68,267.0,199.0,3.64,0.0,11.51
A014,"Rice, parboiled, milled",6,1471,7.81,0.55,77.16,3.74,8.11,0.72,26.72,1.08,140.0,142.0,3.16,0.0,9.75
A015,"Rice, raw, milled",6,1491,7.94,0.52,78.24,2.81,7.49,0.65,19.3,1.21,96.0,108.0,2.34,0.0,9.32
A016,Samai,6,1449,10.13,3.89,65.55,7.72,16.06,1.26,91.41,1.82,130.0,105.0,4.77,0.0,36.2
A017,Varagu,5,1388,8.92,2.55,66.19,6.39,15.27,2.34,122.0,1.65,101.0,94.0,3.35,0.0,39.49
A018,"Wheat flour, refined",6,1472,10.36,0.76,74.27,2.76,20.4,1.77,30.69,0.88,110.0,148.0,1.54,0.0,16.25
A019,"Wheat flour, atta",6,1340,10.57,1.53,64.17,11.36,30.94,4.1,125.0,2.85,315.0,311.0,2.04,0.0,29.22
A020,"Wheat, whole",6,1347,10.59,1.47,64.72,11.23,39.36,3.97,125.0,2.85,315.0,366.0,2.5,0.0,30.09
A021,"Wheat, bulgur",6,1430,10.84,1.45,69.06,8.81,27.09,3.86,116.0,1.97,245.0,330.0,2.09,0.0,26.3
A022,"Wheat, semolina",6,1396,11.38,0.74,68.43,9.72,29.38,2.98,37.89,2.13,119.0,284.0,2.31,0.0,25.68
A023,"Wheat, vermicelli",6,1392,9.7,0.45,70.39,9.28,19.42,2.02,34.18,0.83,99.0,163.0,2.71,0.0,14.35
A024,"Wheat, vermicelli, roasted",6,1423,10.37,0.49,71.42,9.55,22.63,2.09,39.03,0.88,107.0,177.0,3.43,0.0,13.21
B001,"Bengal gram, dal",6,1377,21.55,5.31,46.72,15.15,46.32,6.08,118.0,3.65,325.0,957.0,20.83,0.0,182.0
B002,"Bengal gram, whole",6,1201,18.77,5.11,39.56,25.22,150.0,6.78,160.0,3.37,267.0,935.0,26.56,0.0,233.0
B003,"Black gram, dal",6,1356,23.06,1.69,51.0,11.93,55.67,4.67,173.0,3.0,375.0,1157.0,18.88,0.0,88.75
B004,"Black gram, whole",6,1219,21.97,1.58,43.99,20.41,86.18,5.97,190.0,3.05,345.0,1093.0,26.8,0.0,134.0
B005,"Cowpea, brown",6,1340,20.36,1.15,54.62,11.54,81.73,5.9,213.0,3.41,372.0,1241.0,13.68,0.0,231.0
B006,"Cowpea, white",1,1340,21.25,1.14,53.77,11.7,84.1,5.04,213.0,3.57,378.0,1243.0,12.52,0.0,249.0
B007,"Field bean, black",1,1155,19.93,0.92,43.46,23.4,78.16,4.5,197.0,2.42,457.0,1272.0,1.35,0.0,291.0
B008,"Field bean, brown",1,1184,19.9,0.98,45.24,22.4,75.2,4.99,173.0,2.44,429.0,1245.0,1.41,0.0,292.0
B009,"Field bean, white",5,1173,19.84,0.94,44.53,22.99,77.24,5.5,190.0,2.8,448.0,1360.0,1.7,0.0,289.0
B010,"Green gram, dal",6,1363,23.88,1.35,52.59,9.37,43.13,3.93,155.0,2.49,416.0,1268.0,10.14,0.0,92.11
B011,"Green gram, whole",6,1229,22.53,1.14,46.13,17.04,92.43,4.89,198.0,2.67,353.0,1177.0,12.48,0.0,145.0
B012,"Horse gram, whole",6,1379,21.73,0.62,57.24,7.88,269.0,8.76,152.0,2.71,298.0,1065.0,12.14,0.0,163.0
B013,Lentil dal,6,1349,24.35,0.75,52.53,10.43,44.32,7.06,74.69,3.61,310.0,786.0,10.27,0.0,49.99
B014,"Lentil whole, brown",6,1251,22.49,0.64,48.47,16.82,76.13,7.57,101.0,3.6,274.0,756.0,11.2,0.0,132.0
B015,"Lentil whole, yellowish",2,1246,22.87,0.61,47.91,16.66,76.66,7.91,86.38,3.31,261.0,764.0,10.87,0.0,121.0
B016,Moth bean,6,1291,19.75,1.76,52.09,15.12,154.0,7.9,205.0,1.92,362.0,1356.0,26.34,0.0,349.0
B017,"Peas, dry",6,1269,20.43,1.89,48.93,17.01,75.11,5.09,123.0,3.1,334.0,922.0,23.4,0.0,110.0
B018,"Rajmah, black",2,1247,19.01,1.62,49.59,17.74,134.0,6.17,160.0,3.08,386.0,1362.0,9.4,0.0,332.0
B019,"Rajmah, brown",6,1245,19.5,1.68,48.83,16.95,134.0,6.3,164.0,2.6,396.0,1366.0,10.47,0.0,330.0
B020,"Rajmah, red",3,1252,19.91,1.77,48.61,16.57,126.0,6.13,173.0,2.69,409.0,1324.0,10.45,0.0,316.0
B021,"Red gram, dal",6,1384,21.7,1.56,55.23,9.06,71.73,3.9,119.0,2.63,328.0,1395.0,18.01,0.0,108.0
B022,"Red gram, whole",6,1146,20.47,1.38,42.48,22.84,139.0,5.37,155.0,2.99,312.0,1303.0,19.03,0.0,229.0
B023,Ricebean,1,1265,19.97,0.74,51.26,13.37,200.0,4.76,201.0,2.29,270.0,1196.0,10.62,1.11,122.0
B024,"Soya bean, brown",6,1596,35.58,19.82,12.79,21.55,239.0,8.29,259.0,4.01,483.0,1613.0,2.07,0.0,297.0
B025,"Soya bean, white",1,1579,37.8,19.42,10.16,22.63,195.0,8.22,189.0,3.47,494.0,1634.0,2.83,0.0,288.0
C001,Agathi leaves,1,295,8.01,1.35,5.21,8.6,901.0,4.36,96.64,0.53,52.52,674.0,18.12,121.0,120.0
C002,"Amaranth leaves, green",6,128,3.29,0.65,2.28,4.41,330.0,4.64,194.0,0.86,73.22,572.0,16.08,83.54,70.33
C003,"Amaranth leaves, red mix",1,140,3.93,0.63,2.37,4.91,245.0,7.25,177.0,1.37,75.98,564.0,14.58,86.2,81.95
C004,"Amaranth leaves, red and green mix",4,132,3.09,0.53,2.87,4.6,269.0,5.28,146.0,1.03,68.23,597.0,17.55,77.24,69.08
C005,"Amaranth spinosus, leaves, green mix",4,110,3.54,0.36,1.61,5.1,359.0,6.37,202.0,1.57,72.46,569.0,15.66,82.56,41.44
C006,"Amaranth spinosus, leaves, red and green mix",2,99,2.8,0.34,1.45,5.57,372.0,4.58,187.0,1.11,85.02,588.0,16.27,77.3,44.23
C007,Basella leaves,2,82,1.57,0.45,2.01,2.21,93.89,4.2,153.0,0.39,37.26,337.0,18.74,63.35,90.31
C008,Bathua leaves,2,116,2.5,0.44,2.56,4.01,211.0,2.66,48.41,0.98,37.55,438.0,10.75,41.03,42.55
C009,Beet greens,6,145,2.38,0.75,3.86,3.64,151.0,5.8,120.0,0.16,36.02,530.0,111.0,35.83,11.52
C010,"Betel leaves, big (kolkata)",6,202,2.51,0.75,7.37,2.12,207.0,3.0,107.0,0.47,51.73,649.0,16.8,18.4,15.96
C011,"Betel leaves, small",4,183,2.62,0.75,6.16,1.97,196.0,2.87,89.94,0.39,55.72,678.0,14.04,24.51,16.56
C012,Brussels sprouts,1,185,4.26,0.5,5.09,4.29,53.99,1.54,32.99,0.57,98.56,639.0,18.51,89.45,85.01
C013,"Cabbage, Chinese",1,75,1.58,0.13,2.36,2.01,58.46,0.39,11.51,0.19,33.05,258.0,20.28,19.32,54.51
C014,"Cabbage, collard greens",1,126,3.63,0.27,2.79,2.98,170.0,2.67,45.9,0.35,54.67,292.0,22.98,40.76,63.46
C015,"Cabbage, green",6,90,1.36,0.12,3.25,2.76,51.76,0.35,17.99,0.16,30.15,233.0,14.98,33.25,46.36
C016,"Cabbage, violet",2,97,1.39,0.21,3.54,2.21,48.0,0.24,26.87,0.13,22.14,201.0,24.0,43.49,34.81
C017,Cauliflower leaves,6,148,3.9,0.42,3.39,3.43,96.7,2.42,41.5,0.31,62.82,374.0,24.31,52.84,42.99
C018,"Colocasia leaves, green",6,182,3.42,1.38,3.69,5.6,216.0,3.41,59.44,0.82,57.88,404.0,12.08,40.71,159.0
C019,Drumstick leaves,3,282,6.41,1.64,5.62,8.21,314.0,4.56,97.09,0.72,109.0,397.0,9.34,108.0,42.89
C020,Fenugreek leaves,5,144,3.68,0.83,2.17,4.9,274.0,5.69,63.67,0.54,53.05,226.0,47.01,58.25,75.26
C021,Garden cress,2,208,5.62,0.8,4.48,2.6,217.0,6.19,79.24,1.52,45.55,379.0,25.35,42.75,58.1
C022,"Gogu leaves, green",4,152,1.86,1.09,4.06,4.59,145.0,7.65,83.09,0.65,41.99,260.0,12.34,29.65,74.94
C023,"Gogu leaves, red",1,153,1.85,1.07,4.24,3.89,129.0,9.56,75.75,0.63,36.38,161.0,14.08,35.43,88.63
C024,"Knol-Khol, leaves",2,178,3.12,0.35,6.16,2.76,368.0,2.51,66.0,0.42,55.02,309.0,26.8,71.11,41.55
C025,Lettuce,3,91,1.54,0.27,3.01,1.79,56.71,2.73,43.22,0.51,44.1,279.0,17.53,11.91,30.69
C026,Mustard leaves,3,127,3.52,0.51,2.41,3.92,191.0,2.84,51.63,0.68,71.62,403.0,19.14,60.32,110.0
C027,Pak Choi leaves,1,67,1.41,0.25,1.78,1.91,150.0,3.78,45.28,0.16,25.95,250.0,33.73,55.6,98.5
C028,Parsley,3,305,5.55,1.14,9.43,3.87,288.0,5.51,49.18,1.29,78.56,466.0,53.08,133.0,197.0
C029,Ponnaganni,2,213,5.29,0.71,5.17,6.74,388.0,3.88,80.39,0.99,58.26,457.0,39.36,103.0,48.42
C030,"Pumpkin leaves, tender",6,185,4.21,0.74,4.75,2.25,271.0,5.58,84.21,0.9,64.54,423.0,12.2,12.33,33.82
C031,Radish leaves,6,109,2.22,0.51,2.77,1.82,234.0,3.82,57.96,0.49,50.08,304.0,17.39,65.76,53.14
C032,Rumex leaves,2,82,1.62,0.33,2.33,1.27,131.0,3.67,48.33,0.46,32.4,336.0,19.95,53.76,41.01
C033,Spinach,6,102,2.14,0.64,2.05,2.38,82.29,2.95,86.97,0.46,32.59,625.0,42.55,30.28,142.0
C034,"Tamarind leaves, tender",3,299,5.84,0.49,10.04,10.7,66.93,2.84,42.1,0.93,86.86,465.0,13.43,28.22,91.82
D001,Ash gourd,6,73,0.79,0.14,2.84,3.37,19.39,0.47,19.95,0.13,29.07,372.0,0.77,11.41,14.11
D002,"Bamboo shoot, tender",1,68,1.33,0.35,1.67,1.55,10.0,0.33,8.28,0.37,39.63,422.0,1.12,15.74,17.05
D003,"Bean scarlet, tender",5,179,2.86,0.99,5.16,4.5,43.48,0.73,43.75,0.57,62.13,164.0,1.46,6.61,45.26
D004,"Bitter gourd, jagged, teeth ridges, elongate",6,87,1.44,0.24,2.82,3.78,21.36,1.15,32.14,0.31,44.9,326.0,13.09,46.53,60.28
D005,"Bitter gourd, jagged, teeth ridges, short",4,79,1.34,0.24,2.53,3.49,16.27,1.08,31.58,0.36,40.21,282.0,12.59,50.87,51.45
D006,"Bitter gourd, jagged, smooth ridges, elongate",1,81,1.61,0.26,2.29,3.72,17.62,1.28,33.34,0.43,44.75,356.0,11.16,54.3,60.03
D007,"Bottle gourd, elongate, pale green",6,46,0.53,0.13,1.68,2.12,15.42,0.26,10.93,0.15,16.01,124.0,1.46,4.33,41.99
D008,"Bottle gourd, round, pale green",5,57,0.42,0.12,2.53,2.1,15.05,0.28,10.89,0.15,16.99,116.0,1.52,4.54,49.59
D009,"Bottle gourd, elongate, dark green",1,54,0.49,0.13,2.25,2.11,16.64,0.34,12.9,0.18,26.86,171.0,1.35,3.8,46.31
D010,Brinjal-1,1,114,1.77,0.39,3.49,3.57,22.17,0.49,26.75,0.32,39.95,302.0,3.15,1.58,37.22
D011,Brinjal-2,1,99,1.82,0.34,2.71,4.01,17.13,0.44,29.56,0.23,44.65,206.0,3.92,1.03,27.22
D012,Brinjal-3,2,102,1.36,0.33,3.38,4.26,14.58,0.34,18.62,0.2,27.79,192.0,3.12,2.34,32.29
D013,Brinjal-4,4,100,1.51,0.31,3.19,4.04,13.39,0.38,20.65,0.21,31.82,268.0,3.31,2.22,36.67
D014,Brinjal-5,3,111,1.38,0.29,4.02,4.13,17.03,0.36,25.36,0.2,33.13,227.0,4.03,3.15,32.21
D015,Brinjal-6,2,97,1.46,0.29,3.29,3.68,17.17,0.39,18.82,0.2,30.12,289.0,3.75,1.49,34.21
D016,Brinjal-7,1,98,1.4,0.37,3.1,3.32,19.95,0.27,15.26,0.16,29.58,238.0,3.45,1.08,26.58
D017,Brinjal-8,3,117,1.82,0.33,3.75,4.01,21.0,0.42,26.63,0.24,35.84,284.0,4.73,1.89,33.89
D018,Brinjal-9,2,106,1.47,0.35,3.52,4.0,18.79,0.38,26.23,0.23,35.71,224.0,3.08,1.72,35.89
D019,Brinjal-10,2,116,1.68,0.25,4.08,3.9,15.59,0.41,22.11,0.23,37.36,252.0,4.35,2.4,37.11
D020,Brinjal-11,6,105,1.43,0.31,3.53,4.12,15.92,0.37,20.73,0.22,33.28,260.0,3.47,2.24,34.24
D021,Brinjal-12,2,93,1.6,0.27,2.73,3.89,19.85,0.37,19.26,0.25,37.81,259.0,3.88,2.55,27.83
D022,Brinjal-13,1,124,1.49,0.31,4.51,3.92,18.95,0.32,18.0,0.19,26.81,260.0,3.0,1.49,30.99
D023,Brinjal-14,3,106,1.56,0.35,3.27,3.87,14.43,0.32,19.19,0.19,30.07,246.0,3.71,1.83,38.99
D024,Brinjal-15,4,114,1.58,0.29,3.96,3.99,17.82,0.36,21.89,0.22,30.32,215.0,3.34,2.01,32.48
D025,Brinjal-16,1,103,1.26,0.34,3.46,3.74,18.33,0.32,17.06,0.19,29.86,294.0,3.22,1.53,30.87
D026,Brinjal-17,1,91,1.18,0.36,2.89,3.94,20.83,0.5,23.13,0.25,35.94,233.0,3.09,1.95,27.7
D027,Brinjal-18,3,116,1.47,0.33,4.1,4.38,16.24,0.38,15.48,0.18,28.03,208.0,3.63,1.97,38.27
D028,Brinjal-19,3,100,1.26,0.31,3.39,3.97,16.1,0.32,18.41,0.19,29.76,243.0,3.11,2.53,34.32
D029,Brinjal-20,5,99,1.44,0.34,3.15,3.73,14.36,0.33,18.51,0.2,31.21,239.0,3.58,2.21,33.44
D030,Brinjal-21,2,113,1.36,0.35,3.93,3.85,15.27,0.34,17.3,0.2,34.98,252.0,3.06,1.38,32.6
D031,Brinjal - all varieties,6,106,1.48,0.32,3.52,3.98,16.59,0.37,21.0,0.21,32.56,247.0,3.55,2.09,33.93
D032,Broad beans,3,123,3.85,0.15,2.11,8.63,64.37,0.94,40.18,0.61,67.97,362.0,20.74,10.98,20.46
D033,"Capsicum, green",6,68,1.11,0.34,1.84,2.06,14.75,0.48,11.84,0.15,23.0,154.0,1.84,123.0,51.85
D034,"Capsicum, red",4,83,1.47,0.47,2.14,2.19,15.76,0.38,19.57,0.34,30.81,224.0,1.7,112.0,62.54
D035,"Capsicum, yellow",4,78,1.35,0.41,1.95,2.19,19.13,0.69,17.23,0.26,43.33,242.0,1.56,127.0,66.15
D036,Cauliflower,6,96,2.15,0.44,2.03,3.71,25.16,0.96,23.08,0.31,47.33,329.0,30.72,47.14,45.95
D037,Celery stalk,3,69,0.98,0.24,2.33,2.09,38.73,1.36,17.12,0.18,44.84,298.0,10.68,12.3,22.48
D038,Cho-cho-marrow,4,79,0.66,0.15,3.47,1.55,18.64,0.48,13.05,0.1,21.61,120.0,1.28,20.21,63.03
D039,Cluster beans,6,168,3.55,0.37,4.91,4.83,121.0,3.9,81.74,0.61,45.28,301.0,4.05,17.96,41.24
D040,"Colocasia, stem, black",1,100,0.76,0.34,3.83,3.01,29.46,0.77,11.07,0.54,20.31,381.0,0.45,5.15,30.88
D041,"Colocasia, stem, green",5,81,0.91,0.22,2.86,2.33,40.21,0.55,19.56,0.2,30.73,414.0,0.6,5.83,25.32
D042,"Corn, Baby",6,306,2.69,1.33,11.66,6.09,76.51,1.45,25.47,1.13,8.69,260.0,1.4,8.59,45.53
D043,"Cucumber, green, elongate",6,82,0.71,0.16,3.48,2.14,16.39,0.46,20.38,0.17,28.34,183.0,6.33,6.11,16.84
D044,"Cucumber, green, short",6,73,0.83,0.18,2.82,2.13,19.25,0.59,18.48,0.19,29.74,198.0,6.11,6.21,14.67
